spells_cast,runs_reached,wins_from_here,win_rate
0,1000,299,0.299000
1,704,299,0.424716
2,606,299,0.493399
3,538,299,0.555762
4,484,294,0.607438
5,431,285,0.661253
6,401,281,0.700748
7,365,271,0.742466
8,334,256,0.766467
9,303,243,0.801980
10,280,231,0.825000
11,255,216,0.847059
12,227,196,0.863436
13,213,185,0.868545
14,200,177,0.885000
15,182,165,0.906593
16,170,154,0.905882
17,159,144,0.905660
18,151,137,0.907285
19,137,126,0.919708
20,124,114,0.919355
21,120,111,0.925000
22,108,100,0.925926
23,99,93,0.939394
24,92,87,0.945652
25,88,83,0.943182
26,77,73,0.948052
27,73,70,0.958904
28,69,66,0.956522
29,64,61,0.953125
30,57,54,0.947368
31,54,51,0.944444
32,51,48,0.941176
33,44,42,0.954545
34,42,40,0.952381
35,41,39,0.951220
36,37,35,0.945946
37,35,33,0.942857
38,33,33,1.000000
39,32,32,1.000000
40,32,32,1.000000
