blue_mana,red_mana,runs,wins,win_rate
0,0,100,11,0.110000
0,1,100,31,0.310000
0,2,100,40,0.400000
0,3,100,59,0.590000
0,4,100,75,0.750000
0,5,100,59,0.590000
1,0,100,27,0.270000
1,1,100,46,0.460000
1,2,100,67,0.670000
1,3,100,66,0.660000
1,4,100,83,0.830000
1,5,100,78,0.780000
2,0,100,33,0.330000
2,1,100,58,0.580000
2,2,100,76,0.760000
2,3,100,80,0.800000
2,4,100,79,0.790000
2,5,100,87,0.870000
3,0,100,56,0.560000
3,1,100,63,0.630000
3,2,100,77,0.770000
3,3,100,88,0.880000
3,4,100,89,0.890000
3,5,100,87,0.870000
4,0,100,56,0.560000
4,1,100,67,0.670000
4,2,100,75,0.750000
4,3,100,88,0.880000
4,4,100,91,0.910000
4,5,100,88,0.880000
5,0,100,58,0.580000
5,1,100,69,0.690000
5,2,100,82,0.820000
5,3,100,87,0.870000
5,4,100,84,0.840000
5,5,100,84,0.840000
